date,-9,-7,-5,-3,-1,1,3,5,7,9,11
11/9/09,3200,108149.88,177749.65,344050.14,703500.33,0,0,0,0,0,0
11/10/09,3900,108549.88,177099.65,341000.14,710000.33,0,0,0,0,0,0
11/11/09,21200,92049.88,176449.65,338499.13,715551.34,0,0,0,0,0,0
11/12/09,3300,110999.88,174849.65,335349.13,722551.34,0,0,0,0,0,0
11/13/09,4550,110999.88,174499.65,331649.13,729351.34,0,0,0,0,0,0
11/14/09,3950,112549.88,176199.65,327299.13,735001.34,0,0,0,0,0,0
11/15/09,4800,114149.88,177599.65,322099.13,741151.34,0,0,0,0,0,0
11/16/09,4850,116749.88,178949.65,317249.13,746851.34,0,0,0,0,0,0
11/17/09,4600,117999.88,182099.65,313649.13,750901.34,0,0,0,0,0,0
11/18/09,3950,117449.88,186399.65,308999.13,756401.34,0,0,0,0,0,0
11/19/09,26000,89749.76,194549.77,306099.13,760301.34,0,0,0,0,0,0
11/20/09,4300,111250,198349.53,303899.13,763201.34,0,0,0,0,0,0
11/21/09,3650,111500,202049.53,302699.13,764751.34,0,0,0,0,0,0
11/22/09,5300,111150,205299.53,298699.13,769501.34,0,0,0,0,0,0
11/23/09,4800,114000,206999.53,294249.13,774701.34,0,0,0,0,0,0
11/24/09,4650,115600,207699.53,290749.13,780701.34,0,0,0,0,0,0
11/25/09,4500,117300,206001,289647.66,786451.34,0,0,0,0,0,0
11/26/09,4200,118800,207751,286297.66,791051.34,0,0,0,0,0,0
11/27/09,3700,120150,207401,281497.66,799051.34,0,0,0,0,0,0
11/28/09,3550,120400,207301,279997.66,804101.34,0,0,0,0,0,0
11/29/09,3000,121300,206251,279297.66,808501.34,0,0,0,0,0,0
11/30/09,3750,122550,204051,279997.65,811751.35,0,0,0,0,0,0
12/1/09,13700,124400,197401,274947.65,815301.35,0,0,0,0,0,0
12/2/09,4700,136650,195851,274397.65,818851.35,0,0,0,0,0,0
12/3/09,4400,138600,195151,274597.65,822101.35,0,0,0,0,0,0
12/4/09,1800,140200,195401,275647.65,823601.35,0,0,0,0,0,0
12/5/09,4100,138650,194701,277397.65,825001.35,0,0,0,0,0,0
12/6/09,5250,139950,194201,279797.65,825801.35,0,0,0,0,0,0
12/7/09,5600,142100,193951,279047.65,829901.35,0,0,0,0,0,0
12/8/09,6750,143100,194101,277697.65,834201.35,0,0,0,0,0,0
12/9/09,6950,144700,194401,276497.65,838101.35,0,0,0,0,0,0
12/10/09,5200,148050,194951,275547.65,842101.35,0,0,0,0,0,0
12/11/09,5600,150050,195201,274447.65,846151.35,0,0,0,0,0,0
12/12/09,10700,147400,195401,273597.65,849851.35,0,0,0,0,0,0
12/13/09,5700,154800,195651,273297.65,853201.35,0,0,0,0,0,0
12/14/09,21642.35,140507.65,195701,272847.65,857051.35,0,0,0,0,0,0
12/15/09,10959,152641,197751,271347.65,860551.35,0,0,0,0,0,0
12/16/09,7650,158500,198900,270498.65,864501.35,0,0,0,0,0,0
12/17/09,8700,162450,193749.88,275349.78,868250.34,0,0,0,0,0,0
12/18/09,11250,168050,193299.88,274899.78,872250.34,0,0,0,0,0,0
12/19/09,9950,153700,215499.88,274649.78,875850.34,0,0,0,0,0,0
12/20/09,8750,159900,215599.88,274349.78,879800.34,0,0,0,0,0,0
12/21/09,8800,165200,215799.88,270849.78,886500.34,0,0,0,0,0,0
12/22/09,8100,169650,217449.88,270049.78,890000.34,0,0,0,0,0,0
12/23/09,7700,174250,219249.88,267249.79,894500.33,0,0,0,0,0,0
12/24/09,7700,178250,219099.88,266949.79,898650.33,0,0,0,0,0,0
12/25/09,7500,181900,218549.88,267249.79,902900.33,0,0,0,0,0,0
12/26/09,8700,186000,217899.88,267549.79,906650.33,0,0,0,0,0,0
12/27/09,8600,191450,217299.88,269074.79,908725.33,0,0,0,0,0,0
12/28/09,6850,197250,216349.88,269194.79,912355.33,0,0,0,0,0,0
12/29/09,8550,201650,213299.88,270999.79,916050.33,0,0,0,0,0,0
12/30/09,7050,207250,212549.88,271099.79,919650.33,0,0,0,0,0,0
12/31/09,6900,200950,222299.88,270799.79,923550.33,0,0,0,0,0,0
1/1/10,6700,203750,223249.88,270299.79,927100.33,0,0,0,0,0,0
1/2/10,6300,207100,224499.88,268349.79,931150.33,0,0,0,0,0,0
1/3/10,9300,212150,223849.88,266599.79,934750.33,50,0,0,0,0,0
1/4/10,29854.35,197550,224695.53,264799.79,938800.33,50,0,0,0,0,0
1/5/10,9900,224154.35,226445.53,263049.79,942050.33,50,0,0,0,0,0
1/6/10,8150,230304.35,227945.53,261849.79,945500.33,50,0,0,0,0,0
1/7/10,7700,234854.35,228795.53,260749.79,949350.33,50,0,0,0,0,0
1/8/10,7650,239401.35,228748.53,260149.79,953150.33,50,0,0,0,0,0
1/9/10,7550,243751.35,228798.53,259599.79,956300.33,700,0,0,0,0,0
1/10/10,9500,246501.35,230848.53,258699.79,956900.33,3750,0,0,0,0,0
1/11/10,7950,251601.35,233048.53,257549.79,955600.33,8400,0,0,0,0,0
1/12/10,18700,252051.35,227598.53,256549.79,954061.33,13139,0,0,0,0,0
1/13/10,8258,265555.35,229986.53,257349.79,950211.33,18939,0,0,0,0,0
1/14/10,7555,263007.35,237437.53,257049.79,947750.33,24650,0,0,0,0,0
1/15/10,7250.74,264411.61,241037.53,257299.79,943575.33,30925,0,0,0,0,0
1/16/10,6501,263611.35,246637.53,259299.79,938525.33,36175,0,0,0,0,0
1/17/10,6550,259162.35,254137.53,259599.79,936925.33,40925,0,0,0,0,0
1/18/10,6300,256262.35,258437.53,255599.65,940975.47,45975,0,0,0,0,0
1/19/10,6200,254362.35,257537.41,260849.77,938800.47,52000,0,0,0,0,0
1/20/10,7900,251812.35,261837.65,262449.53,936050.47,57600,0,0,0,0,0
1/21/10,8950,251412.35,265887.65,263099.53,934600.47,62450,0,0,0,0,0
1/22/10,6900,252412.35,269587.65,263699.53,933300.47,67150,0,0,0,0,0
1/23/10,8049,251563.35,274837.65,264749.53,930350.47,71500,0,0,0,0,0
1/24/10,7750,252112.35,279137.65,267349.53,920900.47,81500,0,0,0,0,0
